m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,NTU,epsilon,h_hot,h_cold,error,iteration,D_f_o,D_f_i,V_max_f,V_f,M_dot_flue_f,M_dot_water_f,run_id,noise_applied,noise_T_hot_out,delta_T_hot_out,noise_T_cold_out,delta_T_cold_out,noise_Q_actual,delta_Q_actual,noise_U_overall,delta_U_overall,noise_h_hot,delta_h_hot,noise_h_cold,delta_h_cold
4.124000379060275,2.2035991654683924,202.62965366002393,21.47255194683961,1.7348041459241117e-06,1.745287004471569e-06,215.01109827285674,15.782236511040443,-52388.67041582886,18.3159027641348,0.06799580957985368,-0.06834644899781872,23.22479441594031,109.84409317771845,6.670190089153039e-07,25,3.9900495356254565e-06,4.014160110284608e-06,37.547511521522715,0.07050224637814016,28.010443595055943,70.19908671871417,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.252694225299113,2.131930355331571,204.60540332102406,20.670850814974024,4.33072264781972e-06,3.461414631019311e-06,216.95829054699027,14.619692075572475,-53898.91152810024,18.59736960878746,0.06695143366827118,-0.06715914469392525,23.67936296677714,109.88748421349317,6.661679492481198e-07,25,9.960662089985355e-06,7.961253651344414e-06,38.73156471509533,0.06826316409811704,28.893747277461117,67.96963249249515,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.264905762246789,2.2465574794011838,198.03320491638223,22.876230340219315,7.00345909015606e-06,5.382369697592739e-06,209.79687801252197,17.39202411920139,-51475.4020594096,18.624120451878856,0.06685576285089646,-0.0671607460942103,23.72277334812051,109.93609484227669,6.486079939804767e-07,25,1.6107955907358938e-05,1.23794503044633e-05,38.8555407981562,0.07199711371807414,28.986233435424523,71.68752612908642,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.133247723187301,2.4397021167995416,199.42813986566864,23.927496153040607,9.00145097618935e-06,8.950837664741515e-06,211.4433953390279,18.928686881068188,-50953.24003932404,18.338152548564388,0.06792609719681078,-0.06846274303719091,23.259177421573728,110.02651077044656,6.56105754615055e-07,25,2.0703337245235503e-05,2.0586926628905482e-05,37.665319453179066,0.07831562606331607,28.098328312071583,77.97886887124382,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.258943984696238,2.2901556285781357,195.42507236857938,24.499490945281913,1.149750231005204e-05,1.1968964246240611e-05,206.92091668927952,19.249522041175442,-50233.12110113521,18.613430098546903,0.0669109199239446,-0.06725642952315414,23.702892000457794,110.10309861165715,6.406260695257515e-07,25,2.644425531311969e-05,2.7528617766353404e-05,38.822682486248524,0.0736174921662685,28.9617211347414,73.30093694995355,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.149164445759062,2.3095872159960993,196.61927641715772,20.605978979557293,1.302371660684064e-05,1.4981600405471042e-05,208.62838980968246,15.307927773601236,-51123.30875749976,18.375173632663532,0.06780212728816866,-0.06822844391505223,23.31646584717682,110.17965353467605,6.559226903846138e-07,25,2.9954548195733472e-05,3.4457680932583396e-05,37.82908812700766,0.07434540158449861,28.220499742747712,74.02571635768527,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.231801922371293,2.332381303190009,204.28808422217065,23.43657462959858,1.5877193480340626e-05,1.6019002977945568e-05,216.50040822801876,17.99527021394634,-53023.81974588789,18.55564366667984,0.06713101423651976,-0.06752680159187174,23.608615798026158,110.20603990271954,6.619788166517537e-07,25,3.651754500478344e-05,3.6843706849274804e-05,38.596084295923184,0.07511510612354351,28.792678884758697,74.79211116721227,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.2997661185576,2.1595769720278652,201.15576039622331,22.303973051491038,1.8546882000266718e-05,1.717178711970421e-05,213.10302002683264,16.46248662210065,-52706.05314570688,18.702456890397638,0.06659265732489436,-0.066799777670554,23.847409036387756,110.23537583358123,6.540792867326672e-07,25,4.265782860061345e-05,3.949511037531968e-05,39.22886331073991,0.06958691799731001,29.264732029811974,69.28769424992159,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.119921654671953,2.2056257115900877,195.0819707180738,20.71134052013066,2.02470959921212e-05,2.079747839672963e-05,207.00959900319518,15.240045124430083,-50418.55730632878,18.3119998843287,0.06804862209989891,-0.0684038835644587,23.214445344311653,110.32774394036674,6.534942542657518e-07,25,4.656832078187876e-05,4.783420031247815e-05,37.595941508780435,0.07118987506753988,28.046572365550205,70.88375860474946,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.05750196654618,2.2334556363086175,204.88096078759423,23.369618956331525,2.3049076390099215e-05,2.3282072975300056e-05,217.40410791428778,17.782681410325903,-52133.82414034781,18.174054780800297,0.06857496743676397,-0.0689937444148001,22.99288274129603,110.39113090407295,6.712420770327299e-07,25,5.301287569722819e-05,5.354876784319012e-05,37.03915006269181,0.07217098544849242,27.631205946768095,71.8606502110639,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.2402450120127755,2.460019307853608,199.15320084900804,22.94808880656545,2.547640584725732e-05,2.4794315497336034e-05,211.05759211175385,17.909156155210052,-51789.95160040189,18.5761886589279,0.06707152444857416,-0.06755985183834157,23.640537390352243,110.42974689651392,6.528017308937706e-07,25,5.859573344869183e-05,5.702692564387287e-05,38.718943944480806,0.07954769670899325,28.88433218258268,79.20564161314459,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.065782098585208,2.4321703549930787,197.4700310759568,21.6907791194291,2.7341088160961554e-05,2.664614430023266e-05,209.61298129757736,16.70591587279579,-50654.22496558814,18.193238343361195,0.06850754836605746,-0.06908067980983135,23.023431520230005,110.47707123586413,6.599113646643673e-07,25,6.288450277021157e-05,6.128613189053511e-05,37.13443297711161,0.07871458963150822,27.70228700092526,78.37611689609274,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.287968708878992,2.293456302732403,204.57915365736272,24.311108996725764,2.8508247941267624e-05,2.8676985922223214e-05,216.66245722015887,18.76324573006305,-53159.96109416199,18.680566047828812,0.06669771269138353,-0.06702964790872135,23.808550749958755,110.52901698473575,6.581337572697521e-07,25,6.556897026491552e-05,6.595706762111339e-05,39.1694089662885,0.0742950749153285,29.220379088851224,73.9756060931926,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.156913790590957,2.3963724699868134,196.19503390960907,24.61388922284548,2.9747433929694462e-05,3.0929877612232745e-05,207.9044372551523,19.625843940861422,-49940.52973309419,18.396345877415627,0.0677537074738997,-0.06824411485842319,23.347786243770162,110.58669960942586,6.469906281836302e-07,25,6.841909803829726e-05,7.113871850813531e-05,37.97808279969749,0.07771002624789258,28.33164976857433,77.37587313502664,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.115921995657606,2.175732793145391,201.50199605324934,22.461167952277073,3.2266870216264946e-05,3.333597305866129e-05,213.7529795669793,16.769868218135336,-51735.11891792744,18.306646355289672,0.06809483513798456,-0.0684256414789417,23.20307585041389,110.64837135912086,6.631309759086434e-07,25,7.421380149740936e-05,7.667273803492095e-05,37.61531095339219,0.07063379642328113,28.061021971230574,70.33007109866102,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.215516787751651,2.3447152368400266,199.30111322180147,20.68676211549835,3.45063564806238e-05,3.463142949023553e-05,211.39254488167907,15.348285210463418,-52296.895612070184,18.525333252452132,0.06728026948837533,-0.06769574552652458,23.555775620591827,110.68160430029413,6.58375967077518e-07,25,7.936461990543473e-05,7.965228782754172e-05,38.536199111401764,0.07616543671931451,28.748004537105714,75.83792534142147,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.078797167965723,2.2341155552774232,204.6077590117626,20.110557897553903,3.6926142056163245e-05,3.6779632445248944e-05,217.30385380596442,14.41841809357473,-53131.200173575904,18.225054042663277,0.06840836835741582,-0.06881456584451162,23.07212781585232,110.73675716211835,6.763963256162242e-07,25,8.493012672917545e-05,8.459315462407256e-05,37.29756620968855,0.0726450747755614,27.823984392427654,72.33270095402649,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.076587791683483,2.0203837376936913,201.30212386349362,21.05304122429981,3.804628128584797e-05,3.9618340561713324e-05,213.67313529763612,14.923230440854761,-51742.73355196532,18.221228417331453,0.06843107604044353,-0.06863286765739418,23.064526387701775,110.80972238335453,6.667081038358447e-07,25,8.750644695745032e-05,9.112218329194064e-05,37.28254475286675,0.06578191886697676,27.812778385638595,65.49905661584876,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.1155608351066215,2.122298387878039,195.9980909860291,20.742747835946112,3.965994078525342e-05,4.2202918903574244e-05,207.9835842872604,15.03509670083863,-50609.52951729986,18.308558464586664,0.06810792384773709,-0.06838874687527974,23.20359512705747,110.87623921433607,6.55218769907151e-07,25,9.121786380608286e-05,9.706671347822075e-05,37.64651420608965,0.06918315407172333,28.084299597742877,68.88566650921491,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.090482767079989,2.219136972978533,201.74420378661435,20.237306712743553,4.13572475514968e-05,4.437849786077993e-05,214.2148163873452,14.592394773389696,-52337.107412613805,18.253680876093792,0.0683200857100153,-0.06870599851451087,23.114837006839974,110.93229195063522,6.696764387470466e-07,25,9.512166936844263e-05,0.00010207054507979385,37.42500469691592,0.07241308017742132,27.919053503899274,72.10170393265841,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.288885785794915,2.3849899687900398,200.35205439710737,23.563266590603313,4.249532305172825e-05,4.7877680544415976e-05,212.21785090684475,18.323236925868173,-52214.21318342905,18.688981824833387,0.06671349250535392,-0.06711849013142479,23.815251937062783,111.02256567449453,6.516515043131221e-07,25,9.773924301897497e-05,0.00011011866525215674,39.2458004399361,0.0779517762261073,29.277367128192328,77.61658358833503,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4.09922153725948,2.118086703876315,198.71048243180567,22.834875316474424,4.524923471566834e-05,5.10302450349957e-05,210.76545921947383,17.10555690132426,-50700.83701163092,18.275413627083378,0.06825560830702793,-0.06854263070013489,23.146905595600018,111.104023069976,6.572895472345408e-07,25,0.00010407323984603717,0.0001173695635804901,37.5231075557382,0.069329847343758,27.992238236580697,69.03172900017985,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
